"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\admin.py", "Python", 1, 1, 2, 4
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\apps.py", "Python", 4, 0, 3, 7
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0001_initial.py", "Python", 66, 1, 7, 74
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0002_patienthistory_doctorfeedback.py", "Python", 12, 1, 6, 19
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0003_doctorfeedback.py", "Python", 20, 1, 6, 27
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0004_remove_doctorfeedback_feedback_and_more.py", "Python", 16, 1, 6, 23
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0005_remove_patienthistory_doctorfeedback.py", "Python", 11, 1, 6, 18
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0006_patienthistory_doctor_feedback_delete_doctorfeedback.py", "Python", 15, 1, 6, 22
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0007_patienthistory_patientname.py", "Python", 12, 1, 6, 19
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0008_patienthistory_status.py", "Python", 12, 1, 6, 19
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0009_remove_patienthistory_status.py", "Python", 11, 1, 6, 18
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\0010_patienthistory_chol_patienthistory_cr_and_more.py", "Python", 52, 1, 6, 59
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\migrations\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\models.py", "Python", 45, 3, 7, 55
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\serializers.py", "Python", 58, 0, 10, 68
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\tests.py", "Python", 1, 1, 2, 4
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\urls.py", "Python", 10, 0, 2, 12
"c:\Users\TheF0x\Documents\GitHub\Graduation-Project\heart_disease\views.py", "Python", 154, 2, 19, 175
"Total", "-", 500, 17, 108, 625